"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,56;"-";"";
0202000;"Powiat dzierżoniowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,38;"-";"";
0203000;"Powiat głogowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,52;"-";"";
0204000;"Powiat górowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,71;"-";"";
0205000;"Powiat jaworski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,61;"-";"";
0206000;"Powiat karkonoski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,28;"-";"";
0207000;"Powiat kamiennogórski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,42;"-";"";
0208000;"Powiat kłodzki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,28;"-";"";
0209000;"Powiat legnicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,80;"-";"";
0210000;"Powiat lubański";"przeciętna liczba osób na 1 mieszkanie";"2021";2,48;"-";"";
0211000;"Powiat lubiński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,41;"-";"";
0212000;"Powiat lwówecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,52;"-";"";
0213000;"Powiat milicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,91;"-";"";
0214000;"Powiat oleśnicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,71;"-";"";
0215000;"Powiat oławski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,54;"-";"";
0216000;"Powiat polkowicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,66;"-";"";
0217000;"Powiat strzeliński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,70;"-";"";
0218000;"Powiat średzki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,80;"-";"";
0219000;"Powiat świdnicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,41;"-";"";
0220000;"Powiat trzebnicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,84;"-";"";
0221000;"Powiat wałbrzyski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,34;"-";"";
0222000;"Powiat wołowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,56;"-";"";
0223000;"Powiat wrocławski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,65;"-";"";
0224000;"Powiat ząbkowicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,49;"-";"";
0225000;"Powiat zgorzelecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,43;"-";"";
0226000;"Powiat złotoryjski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,57;"-";"";
0261000;"Powiat m.Jelenia Góra";"przeciętna liczba osób na 1 mieszkanie";"2021";2,05;"-";"";
0262000;"Powiat m.Legnica";"przeciętna liczba osób na 1 mieszkanie";"2021";2,12;"-";"";
0264000;"Powiat m.Wrocław";"przeciętna liczba osób na 1 mieszkanie";"2021";1,82;"-";"";
0265000;"Powiat m.Wałbrzych od 2013";"przeciętna liczba osób na 1 mieszkanie";"2021";2,02;"-";"";
0401000;"Powiat aleksandrowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,64;"-";"";
0402000;"Powiat brodnicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,82;"-";"";
0403000;"Powiat bydgoski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,98;"-";"";
0404000;"Powiat chełmiński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,98;"-";"";
0405000;"Powiat golubsko-dobrzyński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,98;"-";"";
0406000;"Powiat grudziądzki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,07;"-";"";
0407000;"Powiat inowrocławski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,57;"-";"";
0408000;"Powiat lipnowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,08;"-";"";
0409000;"Powiat mogileński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,92;"-";"";
0410000;"Powiat nakielski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,01;"-";"";
0411000;"Powiat radziejowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,11;"-";"";
0412000;"Powiat rypiński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,88;"-";"";
0413000;"Powiat sępoleński";"przeciętna liczba osób na 1 mieszkanie";"2021";3,15;"-";"";
0414000;"Powiat świecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,90;"-";"";
0415000;"Powiat toruński";"przeciętna liczba osób na 1 mieszkanie";"2021";3,14;"-";"";
0416000;"Powiat tucholski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,04;"-";"";
0417000;"Powiat wąbrzeski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,85;"-";"";
0418000;"Powiat włocławski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,03;"-";"";
0419000;"Powiat żniński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,93;"-";"";
0461000;"Powiat m.Bydgoszcz";"przeciętna liczba osób na 1 mieszkanie";"2021";2,14;"-";"";
0462000;"Powiat m.Grudziądz";"przeciętna liczba osób na 1 mieszkanie";"2021";2,22;"-";"";
