"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"przeciętna liczba osób na 1 izbę";"2021";0,63;"-";"";
0202000;"Powiat dzierżoniowski";"przeciętna liczba osób na 1 izbę";"2021";0,67;"-";"";
0203000;"Powiat głogowski";"przeciętna liczba osób na 1 izbę";"2021";0,67;"-";"";
0204000;"Powiat górowski";"przeciętna liczba osób na 1 izbę";"2021";0,66;"-";"";
0205000;"Powiat jaworski";"przeciętna liczba osób na 1 izbę";"2021";0,67;"-";"";
0206000;"Powiat karkonoski";"przeciętna liczba osób na 1 izbę";"2021";0,57;"-";"";
0207000;"Powiat kamiennogórski";"przeciętna liczba osób na 1 izbę";"2021";0,69;"-";"";
0208000;"Powiat kłodzki";"przeciętna liczba osób na 1 izbę";"2021";0,63;"-";"";
0209000;"Powiat legnicki";"przeciętna liczba osób na 1 izbę";"2021";0,64;"-";"";
0210000;"Powiat lubański";"przeciętna liczba osób na 1 izbę";"2021";0,64;"-";"";
0211000;"Powiat lubiński";"przeciętna liczba osób na 1 izbę";"2021";0,63;"-";"";
0212000;"Powiat lwówecki";"przeciętna liczba osób na 1 izbę";"2021";0,63;"-";"";
0213000;"Powiat milicki";"przeciętna liczba osób na 1 izbę";"2021";0,68;"-";"";
0214000;"Powiat oleśnicki";"przeciętna liczba osób na 1 izbę";"2021";0,66;"-";"";
0215000;"Powiat oławski";"przeciętna liczba osób na 1 izbę";"2021";0,64;"-";"";
0216000;"Powiat polkowicki";"przeciętna liczba osób na 1 izbę";"2021";0,67;"-";"";
0217000;"Powiat strzeliński";"przeciętna liczba osób na 1 izbę";"2021";0,65;"-";"";
0218000;"Powiat średzki";"przeciętna liczba osób na 1 izbę";"2021";0,63;"-";"";
0219000;"Powiat świdnicki";"przeciętna liczba osób na 1 izbę";"2021";0,66;"-";"";
0220000;"Powiat trzebnicki";"przeciętna liczba osób na 1 izbę";"2021";0,65;"-";"";
0221000;"Powiat wałbrzyski";"przeciętna liczba osób na 1 izbę";"2021";0,67;"-";"";
0222000;"Powiat wołowski";"przeciętna liczba osób na 1 izbę";"2021";0,64;"-";"";
0223000;"Powiat wrocławski";"przeciętna liczba osób na 1 izbę";"2021";0,58;"-";"";
0224000;"Powiat ząbkowicki";"przeciętna liczba osób na 1 izbę";"2021";0,64;"-";"";
0225000;"Powiat zgorzelecki";"przeciętna liczba osób na 1 izbę";"2021";0,63;"-";"";
0226000;"Powiat złotoryjski";"przeciętna liczba osób na 1 izbę";"2021";0,65;"-";"";
0261000;"Powiat m.Jelenia Góra";"przeciętna liczba osób na 1 izbę";"2021";0,59;"-";"";
0262000;"Powiat m.Legnica";"przeciętna liczba osób na 1 izbę";"2021";0,61;"-";"";
0264000;"Powiat m.Wrocław";"przeciętna liczba osób na 1 izbę";"2021";0,57;"-";"";
0265000;"Powiat m.Wałbrzych od 2013";"przeciętna liczba osób na 1 izbę";"2021";0,65;"-";"";
0401000;"Powiat aleksandrowski";"przeciętna liczba osób na 1 izbę";"2021";0,64;"-";"";
0402000;"Powiat brodnicki";"przeciętna liczba osób na 1 izbę";"2021";0,69;"-";"";
