"Kod";"Nazwa";"Lokalizacje";"Rodzaje instalacji";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"ogółem";"kanalizacja";"2021";84,7;"%";"";
0202000;"Powiat dzierżoniowski";"ogółem";"kanalizacja";"2021";72,4;"%";"";
0203000;"Powiat głogowski";"ogółem";"kanalizacja";"2021";89,1;"%";"";
0204000;"Powiat górowski";"ogółem";"kanalizacja";"2021";44,2;"%";"";
0205000;"Powiat jaworski";"ogółem";"kanalizacja";"2021";80,5;"%";"";
0206000;"Powiat karkonoski";"ogółem";"kanalizacja";"2021";64,7;"%";"";
0207000;"Powiat kamiennogórski";"ogółem";"kanalizacja";"2021";80,9;"%";"";
0208000;"Powiat kłodzki";"ogółem";"kanalizacja";"2021";65,9;"%";"";
0209000;"Powiat legnicki";"ogółem";"kanalizacja";"2021";77,1;"%";"";
0210000;"Powiat lubański";"ogółem";"kanalizacja";"2021";66,6;"%";"";
0211000;"Powiat lubiński";"ogółem";"kanalizacja";"2021";95,2;"%";"";
0212000;"Powiat lwówecki";"ogółem";"kanalizacja";"2021";58,1;"%";"";
0213000;"Powiat milicki";"ogółem";"kanalizacja";"2021";63,4;"%";"";
0214000;"Powiat oleśnicki";"ogółem";"kanalizacja";"2021";66,9;"%";"";
0215000;"Powiat oławski";"ogółem";"kanalizacja";"2021";81,7;"%";"";
0216000;"Powiat polkowicki";"ogółem";"kanalizacja";"2021";87,2;"%";"";
0217000;"Powiat strzeliński";"ogółem";"kanalizacja";"2021";50,1;"%";"";
0218000;"Powiat średzki";"ogółem";"kanalizacja";"2021";57,7;"%";"";
0219000;"Powiat świdnicki";"ogółem";"kanalizacja";"2021";76,1;"%";"";
0220000;"Powiat trzebnicki";"ogółem";"kanalizacja";"2021";50,1;"%";"";
0221000;"Powiat wałbrzyski";"ogółem";"kanalizacja";"2021";60,6;"%";"";
0222000;"Powiat wołowski";"ogółem";"kanalizacja";"2021";70,6;"%";"";
0223000;"Powiat wrocławski";"ogółem";"kanalizacja";"2021";66,6;"%";"";
0224000;"Powiat ząbkowicki";"ogółem";"kanalizacja";"2021";54,7;"%";"";
0225000;"Powiat zgorzelecki";"ogółem";"kanalizacja";"2021";71,0;"%";"";
0226000;"Powiat złotoryjski";"ogółem";"kanalizacja";"2021";69,1;"%";"";
0261000;"Powiat m.Jelenia Góra";"ogółem";"kanalizacja";"2021";89,7;"%";"";
0262000;"Powiat m.Legnica";"ogółem";"kanalizacja";"2021";93,7;"%";"";
0264000;"Powiat m.Wrocław";"ogółem";"kanalizacja";"2021";92,7;"%";"";
0265000;"Powiat m.Wałbrzych od 2013";"ogółem";"kanalizacja";"2021";82,4;"%";"";
