"Kod";"Nazwa";"Formy własności";"Zaległości w opłatach";"Zakres czasowy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"zasoby spółdzielni mieszkaniowych";"liczba mieszkań";"ogółem";"2020";1952;"-";"";
0201000;"Powiat bolesławiecki";"zasoby zakładów pracy (bez Skarbu Państwa)";"liczba mieszkań";"ogółem";"2020";19;"-";"";
0201000;"Powiat bolesławiecki";"zasoby osób fizycznych w budynkach objętych wspólnotami mieszkaniowymi";"liczba mieszkań";"ogółem";"2020";2011;"-";"";
0201000;"Powiat bolesławiecki";"zasoby towarzystw budownictwa społecznego (TBS)";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0201000;"Powiat bolesławiecki";"zasoby innych podmiotów";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0201000;"Powiat bolesławiecki";"zasoby Skarbu Państwa";"liczba mieszkań";"ogółem";"2020";188;"-";"";
0202000;"Powiat dzierżoniowski";"zasoby spółdzielni mieszkaniowych";"liczba mieszkań";"ogółem";"2020";3027;"-";"";
0202000;"Powiat dzierżoniowski";"zasoby zakładów pracy (bez Skarbu Państwa)";"liczba mieszkań";"ogółem";"2020";29;"-";"";
0202000;"Powiat dzierżoniowski";"zasoby osób fizycznych w budynkach objętych wspólnotami mieszkaniowymi";"liczba mieszkań";"ogółem";"2020";1583;"-";"";
0202000;"Powiat dzierżoniowski";"zasoby towarzystw budownictwa społecznego (TBS)";"liczba mieszkań";"ogółem";"2020";106;"-";"";
0202000;"Powiat dzierżoniowski";"zasoby innych podmiotów";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0202000;"Powiat dzierżoniowski";"zasoby Skarbu Państwa";"liczba mieszkań";"ogółem";"2020";1;"-";"";
0203000;"Powiat głogowski";"zasoby spółdzielni mieszkaniowych";"liczba mieszkań";"ogółem";"2020";3225;"-";"";
0203000;"Powiat głogowski";"zasoby zakładów pracy (bez Skarbu Państwa)";"liczba mieszkań";"ogółem";"2020";2;"-";"";
0203000;"Powiat głogowski";"zasoby osób fizycznych w budynkach objętych wspólnotami mieszkaniowymi";"liczba mieszkań";"ogółem";"2020";2656;"-";"";
0203000;"Powiat głogowski";"zasoby towarzystw budownictwa społecznego (TBS)";"liczba mieszkań";"ogółem";"2020";167;"-";"";
0203000;"Powiat głogowski";"zasoby innych podmiotów";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0203000;"Powiat głogowski";"zasoby Skarbu Państwa";"liczba mieszkań";"ogółem";"2020";23;"-";"";
0204000;"Powiat górowski";"zasoby spółdzielni mieszkaniowych";"liczba mieszkań";"ogółem";"2020";439;"-";"";
0204000;"Powiat górowski";"zasoby zakładów pracy (bez Skarbu Państwa)";"liczba mieszkań";"ogółem";"2020";5;"-";"";
0204000;"Powiat górowski";"zasoby osób fizycznych w budynkach objętych wspólnotami mieszkaniowymi";"liczba mieszkań";"ogółem";"2020";44;"-";"";
0204000;"Powiat górowski";"zasoby towarzystw budownictwa społecznego (TBS)";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0204000;"Powiat górowski";"zasoby innych podmiotów";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0204000;"Powiat górowski";"zasoby Skarbu Państwa";"liczba mieszkań";"ogółem";"2020";40;"-";"";
0205000;"Powiat jaworski";"zasoby spółdzielni mieszkaniowych";"liczba mieszkań";"ogółem";"2020";1057;"-";"";
0205000;"Powiat jaworski";"zasoby zakładów pracy (bez Skarbu Państwa)";"liczba mieszkań";"ogółem";"2020";2;"-";"";
0205000;"Powiat jaworski";"zasoby osób fizycznych w budynkach objętych wspólnotami mieszkaniowymi";"liczba mieszkań";"ogółem";"2020";158;"-";"";
0205000;"Powiat jaworski";"zasoby towarzystw budownictwa społecznego (TBS)";"liczba mieszkań";"ogółem";"2020";42;"-";"";
0205000;"Powiat jaworski";"zasoby innych podmiotów";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0205000;"Powiat jaworski";"zasoby Skarbu Państwa";"liczba mieszkań";"ogółem";"2020";20;"-";"";
0206000;"Powiat karkonoski";"zasoby spółdzielni mieszkaniowych";"liczba mieszkań";"ogółem";"2020";349;"-";"";
0206000;"Powiat karkonoski";"zasoby zakładów pracy (bez Skarbu Państwa)";"liczba mieszkań";"ogółem";"2020";26;"-";"";
0206000;"Powiat karkonoski";"zasoby osób fizycznych w budynkach objętych wspólnotami mieszkaniowymi";"liczba mieszkań";"ogółem";"2020";1077;"-";"";
0206000;"Powiat karkonoski";"zasoby towarzystw budownictwa społecznego (TBS)";"liczba mieszkań";"ogółem";"2020";10;"-";"";
0206000;"Powiat karkonoski";"zasoby innych podmiotów";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0206000;"Powiat karkonoski";"zasoby Skarbu Państwa";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0207000;"Powiat kamiennogórski";"zasoby spółdzielni mieszkaniowych";"liczba mieszkań";"ogółem";"2020";19;"-";"";
0207000;"Powiat kamiennogórski";"zasoby zakładów pracy (bez Skarbu Państwa)";"liczba mieszkań";"ogółem";"2020";24;"-";"";
0207000;"Powiat kamiennogórski";"zasoby osób fizycznych w budynkach objętych wspólnotami mieszkaniowymi";"liczba mieszkań";"ogółem";"2020";458;"-";"";
0207000;"Powiat kamiennogórski";"zasoby towarzystw budownictwa społecznego (TBS)";"liczba mieszkań";"ogółem";"2020";89;"-";"";
0207000;"Powiat kamiennogórski";"zasoby innych podmiotów";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0207000;"Powiat kamiennogórski";"zasoby Skarbu Państwa";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0208000;"Powiat kłodzki";"zasoby spółdzielni mieszkaniowych";"liczba mieszkań";"ogółem";"2020";1565;"-";"";
0208000;"Powiat kłodzki";"zasoby zakładów pracy (bez Skarbu Państwa)";"liczba mieszkań";"ogółem";"2020";24;"-";"";
0208000;"Powiat kłodzki";"zasoby osób fizycznych w budynkach objętych wspólnotami mieszkaniowymi";"liczba mieszkań";"ogółem";"2020";2807;"-";"";
0208000;"Powiat kłodzki";"zasoby towarzystw budownictwa społecznego (TBS)";"liczba mieszkań";"ogółem";"2020";11;"-";"";
0208000;"Powiat kłodzki";"zasoby innych podmiotów";"liczba mieszkań";"ogółem";"2020";0;"-";"";
0208000;"Powiat kłodzki";"zasoby Skarbu Państwa";"liczba mieszkań";"ogółem";"2020";23;"-";"";
0209000;"Powiat legnicki";"zasoby spółdzielni mieszkaniowych";"liczba mieszkań";"ogółem";"2020";119;"-";"";
0209000;"Powiat legnicki";"zasoby zakładów pracy (bez Skarbu Państwa)";"liczba mieszkań";"ogółem";"2020";6;"-";"";
