"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";281;"osoba";"";
0202000;"Powiat dzierżoniowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";292;"osoba";"";
0203000;"Powiat głogowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";288;"osoba";"";
0204000;"Powiat górowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";709;"osoba";"";
0205000;"Powiat jaworski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";435;"osoba";"";
0206000;"Powiat karkonoski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";403;"osoba";"";
0207000;"Powiat kamiennogórski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";328;"osoba";"";
0208000;"Powiat kłodzki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";375;"osoba";"";
0209000;"Powiat legnicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";456;"osoba";"";
0210000;"Powiat lubański";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";283;"osoba";"";
0211000;"Powiat lubiński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";166;"osoba";"";
0212000;"Powiat lwówecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";380;"osoba";"";
0213000;"Powiat milicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";339;"osoba";"";
0214000;"Powiat oleśnicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";232;"osoba";"";
0215000;"Powiat oławski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";190;"osoba";"";
0216000;"Powiat polkowicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";436;"osoba";"";
