"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"ogółem";"2020";5,6;"%";"";
0202000;"Powiat dzierżoniowski";"ogółem";"2020";6,8;"%";"";
0203000;"Powiat głogowski";"ogółem";"2020";7,8;"%";"";
0204000;"Powiat górowski";"ogółem";"2020";15,7;"%";"";
0205000;"Powiat jaworski";"ogółem";"2020";11,3;"%";"";
0206000;"Powiat karkonoski";"ogółem";"2020";10,1;"%";"";
0207000;"Powiat kamiennogórski";"ogółem";"2020";8,0;"%";"";
0208000;"Powiat kłodzki";"ogółem";"2020";12,6;"%";"";
0209000;"Powiat legnicki";"ogółem";"2020";8,7;"%";"";
0210000;"Powiat lubański";"ogółem";"2020";8,9;"%";"";
0211000;"Powiat lubiński";"ogółem";"2020";5,0;"%";"";
0212000;"Powiat lwówecki";"ogółem";"2020";11,5;"%";"";
0213000;"Powiat milicki";"ogółem";"2020";6,9;"%";"";
0214000;"Powiat oleśnicki";"ogółem";"2020";6,7;"%";"";
0215000;"Powiat oławski";"ogółem";"2020";4,9;"%";"";
0216000;"Powiat polkowicki";"ogółem";"2020";4,8;"%";"";
0217000;"Powiat strzeliński";"ogółem";"2020";11,2;"%";"";
0218000;"Powiat średzki";"ogółem";"2020";5,8;"%";"";
0219000;"Powiat świdnicki";"ogółem";"2020";6,9;"%";"";
0220000;"Powiat trzebnicki";"ogółem";"2020";5,5;"%";"";
0221000;"Powiat wałbrzyski";"ogółem";"2020";14,9;"%";"";
0222000;"Powiat wołowski";"ogółem";"2020";11,7;"%";"";
0223000;"Powiat wrocławski";"ogółem";"2020";2,0;"%";"";
0224000;"Powiat ząbkowicki";"ogółem";"2020";10,2;"%";"";
0225000;"Powiat zgorzelecki";"ogółem";"2020";6,0;"%";"";
0226000;"Powiat złotoryjski";"ogółem";"2020";14,2;"%";"";
0261000;"Powiat m.Jelenia Góra";"ogółem";"2020";4,6;"%";"";
0262000;"Powiat m.Legnica";"ogółem";"2020";5,7;"%";"";
0264000;"Powiat m.Wrocław";"ogółem";"2020";2,4;"%";"";
0265000;"Powiat m.Wałbrzych od 2013";"ogółem";"2020";6,0;"%";"";
0401000;"Powiat aleksandrowski";"ogółem";"2020";14,8;"%";"";
0402000;"Powiat brodnicki";"ogółem";"2020";8,4;"%";"";
0403000;"Powiat bydgoski";"ogółem";"2020";5,2;"%";"";
0404000;"Powiat chełmiński";"ogółem";"2020";13,2;"%";"";
0405000;"Powiat golubsko-dobrzyński";"ogółem";"2020";11,9;"%";"";
0406000;"Powiat grudziądzki";"ogółem";"2020";12,3;"%";"";
0407000;"Powiat inowrocławski";"ogółem";"2020";12,7;"%";"";
0408000;"Powiat lipnowski";"ogółem";"2020";15,9;"%";"";
0409000;"Powiat mogileński";"ogółem";"2020";10,7;"%";"";
0410000;"Powiat nakielski";"ogółem";"2020";12,8;"%";"";
0411000;"Powiat radziejowski";"ogółem";"2020";16,2;"%";"";
0412000;"Powiat rypiński";"ogółem";"2020";10,5;"%";"";
0413000;"Powiat sępoleński";"ogółem";"2020";12,3;"%";"";
0414000;"Powiat świecki";"ogółem";"2020";7,2;"%";"";
0415000;"Powiat toruński";"ogółem";"2020";10,5;"%";"";
0416000;"Powiat tucholski";"ogółem";"2020";11,0;"%";"";
0417000;"Powiat wąbrzeski";"ogółem";"2020";13,0;"%";"";
0418000;"Powiat włocławski";"ogółem";"2020";14,6;"%";"";
0419000;"Powiat żniński";"ogółem";"2020";10,2;"%";"";
0461000;"Powiat m.Bydgoszcz";"ogółem";"2020";3,6;"%";"";
0462000;"Powiat m.Grudziądz";"ogółem";"2020";11,7;"%";"";
0463000;"Powiat m.Toruń";"ogółem";"2020";4,7;"%";"";
0464000;"Powiat m.Włocławek";"ogółem";"2020";10,9;"%";"";
0601000;"Powiat bialski";"ogółem";"2020";10,3;"%";"";
0602000;"Powiat biłgorajski";"ogółem";"2020";5,3;"%";"";
0603000;"Powiat chełmski";"ogółem";"2020";12,9;"%";"";
0604000;"Powiat hrubieszowski";"ogółem";"2020";12,9;"%";"";
0605000;"Powiat janowski";"ogółem";"2020";9,2;"%";"";
0606000;"Powiat krasnostawski";"ogółem";"2020";11,7;"%";"";
0607000;"Powiat kraśnicki";"ogółem";"2020";10,9;"%";"";
0608000;"Powiat lubartowski";"ogółem";"2020";11,3;"%";"";
0609000;"Powiat lubelski";"ogółem";"2020";5,8;"%";"";
0610000;"Powiat łęczyński";"ogółem";"2020";5,7;"%";"";
0611000;"Powiat łukowski";"ogółem";"2020";4,6;"%";"";
0612000;"Powiat opolski";"ogółem";"2020";9,3;"%";"";
0613000;"Powiat parczewski";"ogółem";"2020";7,2;"%";"";
0614000;"Powiat puławski";"ogółem";"2020";6,6;"%";"";
0615000;"Powiat radzyński";"ogółem";"2020";6,8;"%";"";
0616000;"Powiat rycki";"ogółem";"2020";7,6;"%";"";
0617000;"Powiat świdnicki";"ogółem";"2020";9,3;"%";"";
0618000;"Powiat tomaszowski";"ogółem";"2020";8,0;"%";"";
0619000;"Powiat włodawski";"ogółem";"2020";16,0;"%";"";
0620000;"Powiat zamojski";"ogółem";"2020";9,4;"%";"";
0661000;"Powiat m.Biała Podlaska";"ogółem";"2020";10,8;"%";"";
0662000;"Powiat m.Chełm";"ogółem";"2020";12,0;"%";"";
0663000;"Powiat m.Lublin";"ogółem";"2020";5,6;"%";"";
0664000;"Powiat m.Zamość";"ogółem";"2020";10,0;"%";"";
0801000;"Powiat gorzowski";"ogółem";"2020";5,3;"%";"";
0802000;"Powiat krośnieński";"ogółem";"2020";9,3;"%";"";
0803000;"Powiat międzyrzecki";"ogółem";"2020";10,1;"%";"";
0804000;"Powiat nowosolski";"ogółem";"2020";7,1;"%";"";
0805000;"Powiat słubicki";"ogółem";"2020";3,7;"%";"";
0806000;"Powiat strzelecko-drezdenecki";"ogółem";"2020";10,4;"%";"";
0807000;"Powiat sulęciński";"ogółem";"2020";6,7;"%";"";
0808000;"Powiat świebodziński";"ogółem";"2020";5,5;"%";"";
0809000;"Powiat zielonogórski";"ogółem";"2020";8,2;"%";"";
0810000;"Powiat żagański";"ogółem";"2020";9,0;"%";"";
0811000;"Powiat żarski";"ogółem";"2020";6,8;"%";"";
0812000;"Powiat wschowski";"ogółem";"2020";9,0;"%";"";
0861000;"Powiat m.Gorzów Wielkopolski";"ogółem";"2020";4,0;"%";"";
0862000;"Powiat m.Zielona Góra";"ogółem";"2020";4,0;"%";"";
1001000;"Powiat bełchatowski";"ogółem";"2020";5,5;"%";"";
1002000;"Powiat kutnowski";"ogółem";"2020";8,2;"%";"";
