"Kod";"Nazwa";"Rodzaje zanieczyszczeń";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
0202000;"Powiat dzierżoniowski";"ogółem na 1 km2 powierzchni";"2021";0,03;"t/r";"";
0203000;"Powiat głogowski";"ogółem na 1 km2 powierzchni";"2021";0,09;"t/r";"";
0204000;"Powiat górowski";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
0205000;"Powiat jaworski";"ogółem na 1 km2 powierzchni";"2021";0,04;"t/r";"";
0206000;"Powiat karkonoski";"ogółem na 1 km2 powierzchni";"2021";0,02;"t/r";"";
0207000;"Powiat kamiennogórski";"ogółem na 1 km2 powierzchni";"2021";0,02;"t/r";"";
0208000;"Powiat kłodzki";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
0209000;"Powiat legnicki";"ogółem na 1 km2 powierzchni";"2021";0,00;"t/r";"a";
0210000;"Powiat lubański";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
0211000;"Powiat lubiński";"ogółem na 1 km2 powierzchni";"2021";0,22;"t/r";"";
0212000;"Powiat lwówecki";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
0214000;"Powiat oleśnicki";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
0215000;"Powiat oławski";"ogółem na 1 km2 powierzchni";"2021";0,03;"t/r";"";
0216000;"Powiat polkowicki";"ogółem na 1 km2 powierzchni";"2021";0,26;"t/r";"";
0217000;"Powiat strzeliński";"ogółem na 1 km2 powierzchni";"2021";0,03;"t/r";"";
0218000;"Powiat średzki";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
0219000;"Powiat świdnicki";"ogółem na 1 km2 powierzchni";"2021";0,09;"t/r";"";
0221000;"Powiat wałbrzyski";"ogółem na 1 km2 powierzchni";"2021";0,00;"t/r";"a";
0222000;"Powiat wołowski";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
0223000;"Powiat wrocławski";"ogółem na 1 km2 powierzchni";"2021";0,08;"t/r";"";
0225000;"Powiat zgorzelecki";"ogółem na 1 km2 powierzchni";"2021";0,38;"t/r";"";
0226000;"Powiat złotoryjski";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
0261000;"Powiat m.Jelenia Góra";"ogółem na 1 km2 powierzchni";"2021";0,28;"t/r";"";
0262000;"Powiat m.Legnica";"ogółem na 1 km2 powierzchni";"2021";0,64;"t/r";"";
0264000;"Powiat m.Wrocław";"ogółem na 1 km2 powierzchni";"2021";0,47;"t/r";"";
0265000;"Powiat m.Wałbrzych od 2013";"ogółem na 1 km2 powierzchni";"2021";1,74;"t/r";"";
0401000;"Powiat aleksandrowski";"ogółem na 1 km2 powierzchni";"2021";0,04;"t/r";"";
0402000;"Powiat brodnicki";"ogółem na 1 km2 powierzchni";"2021";0,00;"t/r";"a";
0403000;"Powiat bydgoski";"ogółem na 1 km2 powierzchni";"2021";0,05;"t/r";"";
0405000;"Powiat golubsko-dobrzyński";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
0407000;"Powiat inowrocławski";"ogółem na 1 km2 powierzchni";"2021";0,40;"t/r";"";
0408000;"Powiat lipnowski";"ogółem na 1 km2 powierzchni";"2021";0,06;"t/r";"";
0409000;"Powiat mogileński";"ogółem na 1 km2 powierzchni";"2021";0,04;"t/r";"";
0410000;"Powiat nakielski";"ogółem na 1 km2 powierzchni";"2021";0,03;"t/r";"";
0412000;"Powiat rypiński";"ogółem na 1 km2 powierzchni";"2021";0,00;"t/r";"a";
0414000;"Powiat świecki";"ogółem na 1 km2 powierzchni";"2021";0,17;"t/r";"";
0415000;"Powiat toruński";"ogółem na 1 km2 powierzchni";"2021";0,03;"t/r";"";
0417000;"Powiat wąbrzeski";"ogółem na 1 km2 powierzchni";"2021";0,00;"t/r";"a";
0418000;"Powiat włocławski";"ogółem na 1 km2 powierzchni";"2021";0,01;"t/r";"";
