"Kod";"Nazwa";"Wyszczególnienie";"Płeć i miejsce zamieszkania";"Grupy wieku";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";87,3;"%";"";
0202000;"Powiat dzierżoniowski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";91,4;"%";"";
0203000;"Powiat głogowski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";91,9;"%";"";
0204000;"Powiat górowski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";79,8;"%";"";
0205000;"Powiat jaworski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";82,0;"%";"";
0206000;"Powiat karkonoski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";75,1;"%";"";
0207000;"Powiat kamiennogórski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";82,6;"%";"";
0208000;"Powiat kłodzki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";85,2;"%";"";
0209000;"Powiat legnicki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";71,9;"%";"";
0210000;"Powiat lubański";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";84,5;"%";"";
0211000;"Powiat lubiński";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";93,8;"%";"";
0212000;"Powiat lwówecki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";74,7;"%";"";
0213000;"Powiat milicki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";85,2;"%";"";
0214000;"Powiat oleśnicki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";89,7;"%";"";
0215000;"Powiat oławski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";89,9;"%";"";
0216000;"Powiat polkowicki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";88,6;"%";"";
0217000;"Powiat strzeliński";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";86,4;"%";"";
0218000;"Powiat średzki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";81,3;"%";"";
0219000;"Powiat świdnicki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";90,5;"%";"";
0220000;"Powiat trzebnicki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";85,3;"%";"";
0221000;"Powiat wałbrzyski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";79,0;"%";"";
0222000;"Powiat wołowski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";86,8;"%";"";
0223000;"Powiat wrocławski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";82,0;"%";"";
0224000;"Powiat ząbkowicki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";86,8;"%";"";
0225000;"Powiat zgorzelecki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";91,7;"%";"";
0226000;"Powiat złotoryjski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";81,4;"%";"";
0261000;"Powiat m.Jelenia Góra";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";106,9;"%";"";
0262000;"Powiat m.Legnica";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";102,7;"%";"";
0264000;"Powiat m.Wrocław";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";105,1;"%";"";
0265000;"Powiat m.Wałbrzych od 2013";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";90,9;"%";"";
0401000;"Powiat aleksandrowski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";80,2;"%";"";
0402000;"Powiat brodnicki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";80,6;"%";"";
0403000;"Powiat bydgoski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";77,1;"%";"";
0404000;"Powiat chełmiński";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";82,0;"%";"";
0405000;"Powiat golubsko-dobrzyński";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";76,5;"%";"";
0406000;"Powiat grudziądzki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";65,8;"%";"";
0407000;"Powiat inowrocławski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";86,3;"%";"";
0408000;"Powiat lipnowski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";78,5;"%";"";
0409000;"Powiat mogileński";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";81,5;"%";"";
0410000;"Powiat nakielski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";83,9;"%";"";
0411000;"Powiat radziejowski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";78,6;"%";"";
0412000;"Powiat rypiński";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";80,2;"%";"";
0413000;"Powiat sępoleński";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";75,9;"%";"";
0414000;"Powiat świecki";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";78,5;"%";"";
0415000;"Powiat toruński";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";70,6;"%";"";
0416000;"Powiat tucholski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";80,7;"%";"";
0417000;"Powiat wąbrzeski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";70,2;"%";"";
0418000;"Powiat włocławski";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";72,5;"%";"";
0419000;"Powiat żniński";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";73,8;"%";"";
0461000;"Powiat m.Bydgoszcz";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";101,3;"%";"";
0462000;"Powiat m.Grudziądz";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";97,5;"%";"";
0463000;"Powiat m.Toruń";"odsetek dzieci objętych wychowaniem przedszkolnym";"ogółem";"dzieci w wieku 3 - 6 lat";"2021";103,7;"%";"";
