"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"ogółem";"2016";3666,19;"zł";"";
0202000;"Powiat dzierżoniowski";"ogółem";"2016";3562,63;"zł";"";
0203000;"Powiat głogowski";"ogółem";"2016";3723,59;"zł";"";
0204000;"Powiat górowski";"ogółem";"2016";3386,93;"zł";"";
0205000;"Powiat jaworski";"ogółem";"2016";3546,24;"zł";"";
0206000;"Powiat jeleniogórski";"ogółem";"2016";3548,55;"zł";"";
0207000;"Powiat kamiennogórski";"ogółem";"2016";3460,07;"zł";"";
0208000;"Powiat kłodzki";"ogółem";"2016";3526,67;"zł";"";
0209000;"Powiat legnicki";"ogółem";"2016";3579,41;"zł";"";
0210000;"Powiat lubański";"ogółem";"2016";3431,31;"zł";"";
0211000;"Powiat lubiński";"ogółem";"2016";7170,21;"zł";"";
0212000;"Powiat lwówecki";"ogółem";"2016";3420,20;"zł";"";
0213000;"Powiat milicki";"ogółem";"2016";3349,75;"zł";"";
0214000;"Powiat oleśnicki";"ogółem";"2016";3631,94;"zł";"";
0215000;"Powiat oławski";"ogółem";"2016";3881,26;"zł";"";
0216000;"Powiat polkowicki";"ogółem";"2016";4478,18;"zł";"";
0217000;"Powiat strzeliński";"ogółem";"2016";3725,39;"zł";"";
0218000;"Powiat średzki";"ogółem";"2016";4029,00;"zł";"";
0219000;"Powiat świdnicki";"ogółem";"2016";3887,57;"zł";"";
0220000;"Powiat trzebnicki";"ogółem";"2016";3437,11;"zł";"";
0221000;"Powiat wałbrzyski";"ogółem";"2016";3528,00;"zł";"";
0222000;"Powiat wołowski";"ogółem";"2016";4202,10;"zł";"";
0223000;"Powiat wrocławski";"ogółem";"2016";3964,54;"zł";"";
0224000;"Powiat ząbkowicki";"ogółem";"2016";3434,23;"zł";"";
0225000;"Powiat zgorzelecki";"ogółem";"2016";3680,53;"zł";"";
0226000;"Powiat złotoryjski";"ogółem";"2016";3922,04;"zł";"";
0261000;"Powiat m.Jelenia Góra";"ogółem";"2016";3979,80;"zł";"";
0262000;"Powiat m.Legnica";"ogółem";"2016";3728,92;"zł";"";
0264000;"Powiat m.Wrocław";"ogółem";"2016";4800,54;"zł";"";
0265000;"Powiat m.Wałbrzych od 2013";"ogółem";"2016";4180,67;"zł";"";
0401000;"Powiat aleksandrowski";"ogółem";"2016";3170,04;"zł";"";
0402000;"Powiat brodnicki";"ogółem";"2016";3348,46;"zł";"";
0403000;"Powiat bydgoski";"ogółem";"2016";3656,85;"zł";"";
0404000;"Powiat chełmiński";"ogółem";"2016";3435,24;"zł";"";
0405000;"Powiat golubsko-dobrzyński";"ogółem";"2016";3675,99;"zł";"";
0406000;"Powiat grudziądzki";"ogółem";"2016";3564,13;"zł";"";
0407000;"Powiat inowrocławski";"ogółem";"2016";3427,27;"zł";"";
0408000;"Powiat lipnowski";"ogółem";"2016";3056,40;"zł";"";
0409000;"Powiat mogileński";"ogółem";"2016";3398,81;"zł";"";
0410000;"Powiat nakielski";"ogółem";"2016";3321,17;"zł";"";
0411000;"Powiat radziejowski";"ogółem";"2016";3190,28;"zł";"";
0412000;"Powiat rypiński";"ogółem";"2016";3272,60;"zł";"";
0413000;"Powiat sępoleński";"ogółem";"2016";3324,28;"zł";"";
0414000;"Powiat świecki";"ogółem";"2016";3630,37;"zł";"";
